ECLIPSE DURATION [s]
MINIMUM = 1815.4369612352457
AVERAGE = 1818.606770310538
MAXIMUM = 1828.4031937078375

ECLIPSE ORBIT PERCENTAGE [%]
MINIMUM = 31.293991142353594
AVERAGE = 31.348631418630475
MAXIMUM = 31.517499406650966

SUNLIGHT DURATION [s]
MINIMUM = 3972.82859221868
AVERAGE = 3982.6250156159795
MAXIMUM = 3985.794824691272

SUNLIGHT ORBIT PERCENTAGE [%]
MINIMUM = 68.48250059334903
AVERAGE = 68.65136858136952
MAXIMUM = 68.70600885764641

AVERAGE POWER PER SUNLIGHT [W]
MINIMUM = 39.56469341163184
AVERAGE = 64.08326006311354
MAXIMUM = 86.09650549700831

AVERAGE POWER PER ORBIT [W]
MINIMUM = 27.290379349999988
AVERAGE = 43.97911440150581
MAXIMUM = 59.35736107931303

AVERAGE POWER PER SUNLIGHT [W],PERCENTAGE OF ORBITS [%]
27.290379349999988,99.77426636568849
32.29037934999999,99.77426636568849
37.29037934999999,99.77426636568849
42.29037934999999,92.7765237020316
47.29037934999999,82.16704288939052
52.29037934999999,74.94356659142211
57.29037934999999,68.62302483069978
62.29037934999999,60.0451467268623
67.29037935,42.88939051918736
72.29037935,31.60270880361174
77.29037935,21.21896162528217
82.29037935,10.383747178329571
87.29037935,0.0

AVERAGE POWER PER ORBIT [W],PERCENTAGE OF ORBITS [%]
27.290379349999988,99.77426636568849
32.29037934999999,82.16704288939052
37.29037934999999,71.78329571106094
42.29037934999999,62.30248306997742
47.29037934999999,39.954853273137694
52.29037934999999,23.927765237020317
57.29037934999999,6.320541760722348
62.29037934999999,0.0
67.29037935,0.0
72.29037935,0.0
77.29037935,0.0
82.29037935,0.0
87.29037935,0.0
